# height, velocity
0.000000000000000000e+00 0.000000000000000000e+00
1.256281407035175990e+00 2.238114300157466374e+00
2.512562814070351980e+00 2.768183083968335900e+00
3.768844221105528192e+00 3.134687048150276212e+00
5.025125628140703959e+00 3.423791888479205348e+00
6.281407035175879727e+00 3.666277735793134873e+00
7.537688442211056383e+00 3.877097635100101414e+00
8.793969849246231263e+00 4.064773484546774895e+00
1.005025125628140792e+01 4.234673264028257833e+00
1.130653266331658457e+01 4.390420493336622876e+00
1.256281407035175945e+01 4.534588786925780823e+00
1.381909547738693611e+01 4.669078873866983947e+00
1.507537688442211277e+01 4.795338686510620008e+00
1.633165829145728765e+01 4.914499353470787923e+00
1.758793969849246253e+01 5.027463163652434730e+00
1.884422110552764096e+01 5.134962648021987874e+00
2.010050251256281584e+01 5.237601535717481660e+00
2.135678391959799072e+01 5.335883918763912881e+00
2.261306532663316915e+01 5.430235506876156748e+00
2.386934673366834403e+01 5.521019433354075190e+00
2.512562814070351891e+01 5.608548219292144310e+00
2.638190954773869734e+01 5.693092973302110948e+00
2.763819095477387222e+01 5.774890565438576040e+00
2.889447236180904710e+01 5.854149292319781317e+00
3.015075376884422553e+01 5.931053401948101822e+00
3.140703517587940041e+01 6.005766745258153350e+00
3.266331658291457529e+01 6.078435750798790060e+00
3.391959798994975017e+01 6.149191868988801879e+00
3.517587939698492505e+01 6.218153596497485225e+00
3.643216080402010704e+01 6.285428165166321079e+00
3.768844221105528192e+01 6.351112960613151337e+00
3.894472361809045680e+01 6.415296721277705672e+00
4.020100502512563168e+01 6.478060557818531962e+00
4.145728643216080656e+01 6.539478824505596144e+00
4.271356783919598143e+01 6.599619867895808234e+00
4.396984924623115631e+01 6.658546673146953587e+00
4.522613065326633830e+01 6.716317424468090103e+00
4.648241206030151318e+01 6.772985993164134300e+00
4.773869346733668806e+01 6.828602364318893336e+00
4.899497487437186294e+01 6.883213011231781309e+00
5.025125628140703782e+01 6.936861225171978340e+00
5.150753768844221270e+01 6.989587406758231758e+00
5.276381909547739468e+01 7.041429324250826127e+00
5.402010050251256956e+01 7.092422343206154167e+00
5.527638190954774444e+01 7.142599631256850046e+00
5.653266331658291932e+01 7.191992341212185558e+00
5.778894472361809420e+01 7.240629775201679941e+00
5.904522613065326908e+01 7.288539532191481207e+00
6.030150753768845107e+01 7.335747640873592879e+00
6.155778894472362595e+01 7.382278679651022024e+00
6.281407035175880083e+01 7.428155885208142628e+00
6.407035175879397570e+01 7.473401250957454778e+00
6.532663316582915058e+01 7.518035616485602368e+00
6.658291457286432546e+01 7.562078748977858034e+00
6.783919597989950034e+01 7.605549417477390328e+00
6.909547738693467522e+01 7.648465460730147214e+00
7.035175879396985010e+01 7.690843849275329269e+00
7.160804020100502498e+01 7.732700742363049606e+00
7.286432160804021407e+01 7.774051540212844280e+00
7.412060301507538895e+01 7.814910932067752114e+00
7.537688442211056383e+01 7.855292940447426986e+00
7.663316582914573871e+01 7.895210961958935236e+00
7.788944723618091359e+01 7.934677804984771043e+00
7.914572864321608847e+01 7.973705724533319383e+00
8.040201005025126335e+01 8.012306454506846976e+00
8.165829145728643823e+01 8.050491237615533535e+00
8.291457286432161311e+01 8.088270853142709882e+00
8.417085427135678799e+01 8.125655642745678975e+00
8.542713567839196287e+01 8.162655534458259865e+00
8.668341708542713775e+01 8.199280065044851185e+00
8.793969849246231263e+01 8.235538400841376117e+00
8.919597989949750172e+01 8.271439357205606413e+00
9.045226130653267660e+01 8.306991416687823815e+00
9.170854271356785148e+01 8.342202746022568505e+00
9.296482412060302636e+01 8.377081212032972957e+00
9.422110552763820124e+01 8.411634396530963897e+00
9.547738693467337612e+01 8.445869610289252094e+00
9.673366834170855100e+01 8.479793906154281302e+00
9.798994974874372588e+01 8.513414091363426195e+00
9.924623115577890076e+01 8.546736739124256133e+00
1.005025125628140756e+02 8.579768199508803761e+00
1.017587939698492505e+02 8.612514609711402258e+00
1.030150753768844254e+02 8.644981903714636928e+00
1.042713567839196003e+02 8.677175821404334854e+00
1.055276381909547894e+02 8.709101917171224727e+00
1.067839195979899642e+02 8.740765568033937782e+00
1.080402010050251391e+02 8.772171981315260325e+00
1.092964824120603140e+02 8.803326201901123582e+00
1.105527638190954889e+02 8.834233119109507371e+00
1.118090452261306638e+02 8.864897473194417898e+00
1.130653266331658386e+02 8.895323861508185104e+00
1.143216080402010135e+02 8.925516744343601871e+00
1.155778894472361884e+02 8.955480450475903353e+00
1.168341708542713633e+02 8.985219182423026751e+00
1.180904522613065382e+02 9.014737021441412423e+00
1.193467336683417130e+02 9.044037932273228719e+00
1.206030150753769021e+02 9.073125767659941943e+00
1.218592964824120770e+02 9.102004272635962678e+00
1.231155778894472519e+02 9.130677088615307468e+00
1.243718592964824268e+02 9.159147757283186309e+00
1.256281407035176017e+02 9.187419724303763857e+00
1.268844221105527765e+02 9.215496342854468281e+00
1.281407035175879514e+02 9.243380876996631912e+00
1.293969849246231263e+02 9.271076504891547998e+00
1.306532663316583012e+02 9.298586321870464744e+00
1.319095477386934760e+02 9.325913343366488917e+00
1.331658291457286509e+02 9.353060507715870386e+00
1.344221105527638258e+02 9.380030678835632685e+00
1.356783919597990007e+02 9.406826648784150535e+00
1.369346733668341756e+02 9.433451140210781460e+00
1.381909547738693504e+02 9.459906808700369041e+00
1.394472361809045253e+02 9.486196245018000184e+00
1.407035175879397002e+02 9.512321977259166061e+00
1.419597989949748751e+02 9.538286472910071367e+00
1.432160804020100500e+02 9.564092140822639365e+00
1.444723618090452248e+02 9.589741333108449339e+00
1.457286432160804281e+02 9.615236346955606805e+00
1.469849246231156030e+02 9.640579426372308802e+00
1.482412060301507779e+02 9.665772763860690731e+00
1.494974874371859528e+02 9.690818502024278303e+00
1.507537688442211277e+02 9.715718735112213622e+00
1.520100502512563025e+02 9.740475510503278755e+00
1.532663316582914774e+02 9.765090830132502120e+00
1.545226130653266523e+02 9.789566651863033542e+00
1.557788944723618272e+02 9.813904890805838832e+00
1.570351758793970021e+02 9.838107420589553342e+00
1.582914572864321769e+02 9.862176074582810870e+00
1.595477386934673518e+02 9.886112647071149340e+00
1.608040201005025267e+02 9.909918894390552069e+00
1.620603015075377016e+02 9.933596536019521750e+00
1.633165829145728765e+02 9.957147255631545235e+00
1.645728643216080513e+02 9.980572702109643757e+00
1.658291457286432262e+02 1.000387449052468547e+01
1.670854271356784011e+02 1.002705420307898621e+01
1.683417085427135760e+02 1.005011339001671544e+01
1.695979899497487509e+02 1.007305357050247707e+01
1.708542713567839257e+02 1.009587623346944874e+01
1.721105527638191006e+02 1.011858283843829120e+01
1.733668341708542755e+02 1.014117481630811213e+01
1.746231155778894504e+02 1.016365357012056059e+01
1.758793969849246253e+02 1.018602047579821246e+01
1.771356783919598286e+02 1.020827688285823953e+01
1.783919597989950034e+02 1.023042411510240335e+01
1.796482412060301783e+02 1.025246347128428326e+01
1.809045226130653532e+02 1.027439622575465528e+01
1.821608040201005281e+02 1.029622362908590816e+01
1.834170854271357030e+02 1.031794690867626585e+01
1.846733668341708778e+02 1.033956726933465653e+01
1.859296482412060527e+02 1.036108589384693879e+01
1.871859296482412276e+02 1.038250394352421502e+01
1.884422110552764025e+02 1.040382255873391415e+01
1.896984924623115774e+02 1.042504285941430453e+01
1.909547738693467522e+02 1.044616594557303380e+01
1.922110552763819271e+02 1.046719289777031392e+01
1.934673366834171020e+02 1.048812477758733230e+01
1.947236180904522769e+02 1.050896262808040582e+01
1.959798994974874518e+02 1.052970747422141073e+01
1.972361809045226266e+02 1.055036032332500362e+01
1.984924623115578015e+02 1.057092216546308627e+01
1.997487437185929764e+02 1.059139397386699422e+01
2.010050251256281513e+02 1.061177670531783868e+01
2.022613065326633262e+02 1.063207130052541061e+01
2.035175879396985010e+02 1.065227868449608550e+01
2.047738693467336759e+02 1.067239976689007186e+01
2.060301507537688508e+02 1.069243544236839760e+01
2.072864321608040257e+02 1.071238659093000223e+01
2.085427135678392006e+02 1.073225407823923661e+01
2.097989949748744039e+02 1.075203875594415592e+01
2.110552763819095787e+02 1.077174146198583315e+01
2.123115577889447536e+02 1.079136302089911759e+01
2.135678391959799285e+02 1.081090424410499473e+01
2.148241206030151034e+02 1.083036593019492422e+01
2.160804020100502782e+02 1.084974886520739190e+01
2.173366834170854531e+02 1.086905382289690891e+01
2.185929648241206280e+02 1.088828156499575073e+01
2.198492462311558029e+02 1.090743284146862990e+01
2.211055276381909778e+02 1.092650839076056535e+01
2.223618090452261526e+02 1.094550894003815422e+01
2.236180904522613275e+02 1.096443520542445071e+01
2.248743718592965024e+02 1.098328789222767199e+01
2.261306532663316773e+02 1.100206769516391248e+01
